Name Hash,Disambiguation,BG Color 0x00,BG Color 0x01,BG Color 0x02,BG Color 0x03,OBJ0 Color 0x00,OBJ0 Color 0x01,OBJ0 Color 0x02,OBJ0 Color 0x03,OBJ1 Color 0x00,OBJ1 Color 0x01,OBJ1 Color 0x02,OBJ1 Color 0x03
0x9D,,#FFFFFF,#8C8CDE,#52528C,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FFAD63,#843100,#000000
0x17,,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x8B,,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x27,0x4E,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x61,0x41,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x10,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0xF6,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x68,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x29,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x52,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x01,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x5D,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x6D,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x70,,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#00FF00,#318400,#004A00,#FFFFFF,#63A5FF,#0000FF,#000000
0xF7,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0xA2,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x46,0x52,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFF00,#FF0000,#630000,#000000,#FFFFFF,#7BFF31,#008400,#000000
0xD3,0x49,#FFFFFF,#ADAD84,#42737B,#000000,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0xF4,0x2D,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
